sceneName,platform,startTime,area_deg2,perimeter,centroid_lon,centroid_lat,is_valid,is_simple,geometry_wkt
S1C_IW_RAW__0SDV_20251006T022309_20251006T022332_004435_008C90_B163,Sentinel-1C,2025-10-06T02:23:09Z,3.367501,7.621855,53.079141,23.779565,True,True,"POLYGON ((52.016 24.6026, 51.7501 23.2262, 54.1277 22.9537, 54.4195 24.3312, 52.016 24.6026))"
S1C_IW_RAW__0SDV_20251006T022309_20251006T022332_004435_008C90_B163,Sentinel-1C,2025-10-06T02:23:09Z,3.367501,7.621855,53.079141,23.779565,True,True,"POLYGON ((52.016 24.6026, 51.7501 23.2262, 54.1277 22.9537, 54.4195 24.3312, 52.016 24.6026))"
S1C_IW_RAW__0SDV_20251006T022244_20251006T022317_004435_008C90_9BF9,Sentinel-1C,2025-10-06T02:22:44Z,4.837519,8.857317,53.327233,25.001463,True,True,"POLYGON ((52.3081 26.1135, 51.9296 24.1554, 54.3245 23.8837, 54.7423 25.8432, 52.3081 26.1135))"
S1C_IW_RAW__0SDV_20251006T022244_20251006T022317_004435_008C90_9BF9,Sentinel-1C,2025-10-06T02:22:44Z,4.837519,8.857317,53.327233,25.001463,True,True,"POLYGON ((52.3081 26.1135, 51.9296 24.1554, 54.3245 23.8837, 54.7423 25.8432, 52.3081 26.1135))"
S1C_IW_RAW__0SDV_20251006T022219_20251006T022252_004435_008C90_C168,Sentinel-1C,2025-10-06T02:22:19Z,4.898768,8.920112,53.635416,26.512947,True,True,"POLYGON ((52.6007 27.6242, 52.2217 25.6663, 54.6465 25.3957, 55.0681 27.3548, 52.6007 27.6242))"
S1C_IW_RAW__0SDV_20251006T022219_20251006T022252_004435_008C90_C168,Sentinel-1C,2025-10-06T02:22:19Z,4.898768,8.920112,53.635416,26.512947,True,True,"POLYGON ((52.6007 27.6242, 52.2217 25.6663, 54.6465 25.3957, 55.0681 27.3548, 52.6007 27.6242))"
S1A_EW_OCN__2SSH_20251006T021140_20251006T021205_061298_07A5A7_8025,Sentinel-1A,2025-10-06T02:11:40Z,13.625519,20.725578,-93.723885,-65.975104,True,True,"POLYGON ((-96.796936 -67.598572, -88.790306 -65.612442, -90.772331 -64.38401, -98.519173 -66.280205, -96.796936 -67.598572))"
S1A_EW_OCN__2SSH_20251006T021140_20251006T021205_061298_07A5A7_8025,Sentinel-1A,2025-10-06T02:11:40Z,13.625519,20.725578,-93.723885,-65.975104,True,True,"POLYGON ((-96.796936 -67.598572, -88.790306 -65.612442, -90.772331 -64.38401, -98.519173 -66.280205, -96.796936 -67.598572))"
S1A_EW_GRDM_1SSH_20251006T021140_20251006T021205_061298_07A5A7_AFBD,Sentinel-1A,2025-10-06T02:11:40Z,13.629125,20.726094,-93.725643,-65.975478,True,True,"POLYGON ((-96.798241 -67.599045, -88.791969 -65.613159, -90.774605 -64.384293, -98.520988 -66.28022, -96.798241 -67.599045))"
S1A_EW_GRDM_1SSH_20251006T021140_20251006T021205_061298_07A5A7_AFBD,Sentinel-1A,2025-10-06T02:11:40Z,13.629125,20.726094,-93.725643,-65.975478,True,True,"POLYGON ((-96.798241 -67.599045, -88.791969 -65.613159, -90.774605 -64.384293, -98.520988 -66.28022, -96.798241 -67.599045))"
